NSR:StopPlace:5917;NSR:Quay:10851;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.81284,59.89799]}"
NSR:StopPlace:5935;NSR:Quay:10882;Retning Bergkrystallen;"{""type"":""Point"",""coordinates"":[10.819682,59.90591]}"
NSR:StopPlace:5935;NSR:Quay:10883;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.81984,59.90595]}"
NSR:StopPlace:5963;NSR:Quay:10939;Retning sentrum/Storo;"{""type"":""Point"",""coordinates"":[10.84684,59.94452]}"
NSR:StopPlace:5963;NSR:Quay:10938;Retning Vestli;"{""type"":""Point"",""coordinates"":[10.84695,59.94448]}"
NSR:StopPlace:5971;NSR:Quay:10953;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.83671,59.89913]}"
NSR:StopPlace:5971;NSR:Quay:10954;Retning Mortensrud;"{""type"":""Point"",""coordinates"":[10.8366,59.89914]}"
NSR:StopPlace:6029;NSR:Quay:11066;Retning Vestli;"{""type"":""Point"",""coordinates"":[10.79466,59.92432]}"
NSR:StopPlace:6029;NSR:Quay:11065;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.79461,59.92438]}"
NSR:StopPlace:6057;NSR:Quay:11117;Retning Tøyen/Vestli;"{""type"":""Point"",""coordinates"":[10.7785,59.94452]}"
NSR:StopPlace:6057;NSR:Quay:11115;Retning Majorstuen;"{""type"":""Point"",""coordinates"":[10.77862,59.94453]}"
NSR:StopPlace:6086;NSR:Quay:11179;Retning Bergkrystallen;"{""type"":""Point"",""coordinates"":[10.811861,59.90915]}"
NSR:StopPlace:6086;NSR:Quay:11177;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.81191,59.90932]}"
NSR:StopPlace:6086;NSR:Quay:11176;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.811877,59.909206]}"
NSR:StopPlace:6086;NSR:Quay:11178;Retning Ellingsrudåsen/Mortensrud;"{""type"":""Point"",""coordinates"":[10.811891,59.909253]}"
NSR:StopPlace:6140;NSR:Quay:11274;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.82984,59.9101]}"
NSR:StopPlace:6140;NSR:Quay:11273;Retning Ellingsrudåsen/Mortensrud;"{""type"":""Point"",""coordinates"":[10.82986,59.91003]}"
NSR:StopPlace:6149;NSR:Quay:11287;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.73222,59.94687]}"
NSR:StopPlace:6149;NSR:Quay:11289;Retning Sognsvann/Storo;"{""type"":""Point"",""coordinates"":[10.73213,59.94673]}"
NSR:StopPlace:6180;NSR:Quay:11340;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.85447,59.92213]}"
NSR:StopPlace:6180;NSR:Quay:11342;Retning Ellingsrudåsen;"{""type"":""Point"",""coordinates"":[10.85459,59.92211]}"
NSR:StopPlace:6236;NSR:Quay:11447;Retning Frognerseteren;"{""type"":""Point"",""coordinates"":[10.70447,59.93902]}"
NSR:StopPlace:6236;NSR:Quay:11449;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.70434,59.939]}"
NSR:StopPlace:6245;NSR:Quay:11460;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.70497,59.94282]}"
NSR:StopPlace:6245;NSR:Quay:11461;Retning Frognerseteren;"{""type"":""Point"",""coordinates"":[10.70446,59.94201]}"
NSR:StopPlace:6268;NSR:Quay:11506;Retning Frognerseteren;"{""type"":""Point"",""coordinates"":[10.70492,59.94796]}"
NSR:StopPlace:6268;NSR:Quay:11505;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.7042,59.94814]}"
NSR:StopPlace:6273;NSR:Quay:11517;Retning Frognerseteren;"{""type"":""Point"",""coordinates"":[10.69433,59.95103]}"
NSR:StopPlace:6273;NSR:Quay:11518;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.69435,59.95087]}"
NSR:StopPlace:6311;NSR:Quay:11594;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.67342,59.95768]}"
NSR:StopPlace:6311;NSR:Quay:11593;Retning Frognerseteren;"{""type"":""Point"",""coordinates"":[10.67416,59.95797]}"
NSR:StopPlace:6333;NSR:Quay:11638;Retning Frognerseteren;"{""type"":""Point"",""coordinates"":[10.66532,59.98003]}"
NSR:StopPlace:6333;NSR:Quay:11637;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.66533,59.98009]}"
NSR:StopPlace:6336;NSR:Quay:11643;Retning Østerås;"{""type"":""Point"",""coordinates"":[10.67399,59.94152]}"
NSR:StopPlace:6336;NSR:Quay:11644;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.67372,59.94189]}"
NSR:StopPlace:6360;NSR:Quay:11687;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.65515,59.94636]}"
NSR:StopPlace:6360;NSR:Quay:11686;Retning Østerås;"{""type"":""Point"",""coordinates"":[10.65513,59.94643]}"
NSR:StopPlace:6490;NSR:Quay:11933;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.69568,59.93458]}"
NSR:StopPlace:6490;NSR:Quay:11932;Retning vest;"{""type"":""Point"",""coordinates"":[10.69571,59.93465]}"
NSR:StopPlace:6496;NSR:Quay:11945;Retning vest;"{""type"":""Point"",""coordinates"":[10.68457,59.93716]}"
NSR:StopPlace:6496;NSR:Quay:11944;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.6836,59.9373]}"
NSR:StopPlace:6515;NSR:Quay:12026;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.64815,59.92882]}"
NSR:StopPlace:6515;NSR:Quay:12025;Retning Kolsås;"{""type"":""Point"",""coordinates"":[10.64815,59.92889]}"
NSR:StopPlace:6521;NSR:Quay:12038;Retning Kolsås;"{""type"":""Point"",""coordinates"":[10.63442,59.92654]}"
NSR:StopPlace:6521;NSR:Quay:12037;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.63454,59.92651]}"
NSR:StopPlace:6653;NSR:Quay:12285;Retning Bergkrystallen;"{""type"":""Point"",""coordinates"":[10.80522,59.88066]}"
NSR:StopPlace:6653;NSR:Quay:12286;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.80535,59.88068]}"
NSR:StopPlace:6657;NSR:Quay:12292;Retning sentrum;"{""type"":""Point"",""coordinates"":[10.80112,59.88737]}"
NSR:StopPlace:6657;NSR:Quay:12293;Retning Bergkrystallen;"{""type"":""Point"",""coordinates"":[10.800982,59.887388]}"
NSR:StopPlace:70385;NSR:Quay:110490;1;"{""type"":""Point"",""coordinates"":[11.885402,62.414441]}"
NSR:StopPlace:8141;NSR:Quay:14519;mot Hamar;"{""type"":""Point"",""coordinates"":[11.340869,60.818516]}"
NSR:StopPlace:8141;NSR:Quay:14518;mot Elverum;"{""type"":""Point"",""coordinates"":[11.341813,60.81884]}"
NSR:StopPlace:9835;NSR:Quay:317;Buss for tog;"{""type"":""Point"",""coordinates"":[10.698369,60.930272]}"
