65920,NSR:Quay:70307,1,2,NSR:PlaceEquipment:11792,NSR:PlaceEquipment:11792,1,2,NSR:GeneralSign:13712,NSR:GeneralSign:13712,3,2
65920,NSR:Quay:70307,1,2,NSR:PlaceEquipment:11792,NSR:PlaceEquipment:11792,1,2,NSR:ShelterEquipment:2151,NSR:ShelterEquipment:2151,2,1
66473,NSR:Quay:70962,1,2,NSR:PlaceEquipment:12014,NSR:PlaceEquipment:12014,2,1,NSR:GeneralSign:13914,NSR:GeneralSign:13914,1,2
66473,NSR:Quay:70962,1,2,NSR:PlaceEquipment:12014,NSR:PlaceEquipment:12014,2,1,NSR:WaitingRoomEquipment:273,NSR:WaitingRoomEquipment:273,1,2
14975,NSR:Quay:16577,1,2,NSR:PlaceEquipment:1948,NSR:PlaceEquipment:1948,2,1,NSR:GeneralSign:1929,NSR:GeneralSign:1929,1,2
14974,NSR:Quay:16574,1,2,NSR:PlaceEquipment:1947,NSR:PlaceEquipment:1947,2,1,NSR:GeneralSign:1928,NSR:GeneralSign:1928,1,2
66373,NSR:Quay:70877,1,2,NSR:PlaceEquipment:11973,NSR:PlaceEquipment:11973,2,1,NSR:ShelterEquipment:2239,NSR:ShelterEquipment:2239,2,1
66789,NSR:Quay:65756,1,2,NSR:PlaceEquipment:12148,NSR:PlaceEquipment:12148,2,1,NSR:GeneralSign:14053,NSR:GeneralSign:14053,2,1
66789,NSR:Quay:65756,1,2,NSR:PlaceEquipment:12148,NSR:PlaceEquipment:12148,2,1,NSR:ShelterEquipment:2335,NSR:ShelterEquipment:2335,1,2
66889,NSR:Quay:66070,1,2,NSR:PlaceEquipment:12185,NSR:PlaceEquipment:12185,2,1,NSR:GeneralSign:14084,NSR:GeneralSign:14084,1,2
67653,NSR:Quay:69634,1,2,NSR:PlaceEquipment:12505,NSR:PlaceEquipment:12505,1,2,NSR:GeneralSign:14407,NSR:GeneralSign:14407,2,1
67653,NSR:Quay:69634,1,2,NSR:PlaceEquipment:12505,NSR:PlaceEquipment:12505,1,2,NSR:GeneralSign:14406,NSR:GeneralSign:14406,2,1
67654,NSR:Quay:69636,1,2,NSR:PlaceEquipment:12506,NSR:PlaceEquipment:12506,2,1,NSR:GeneralSign:14411,NSR:GeneralSign:14411,1,2
14974,NSR:Quay:16574,1,2,NSR:PlaceEquipment:1947,NSR:PlaceEquipment:1947,2,1,NSR:GeneralSign:1927,NSR:GeneralSign:1927,1,2
67654,NSR:Quay:69636,1,2,NSR:PlaceEquipment:12506,NSR:PlaceEquipment:12506,2,1,NSR:GeneralSign:14410,NSR:GeneralSign:14410,1,2
67654,NSR:Quay:69636,1,2,NSR:PlaceEquipment:12506,NSR:PlaceEquipment:12506,2,1,NSR:WaitingRoomEquipment:294,NSR:WaitingRoomEquipment:294,1,2
16236,NSR:Quay:18059,1,2,NSR:PlaceEquipment:2634,NSR:PlaceEquipment:2634,2,1,NSR:GeneralSign:2655,NSR:GeneralSign:2655,1,2
17271,NSR:Quay:15779,1,2,NSR:PlaceEquipment:3363,NSR:PlaceEquipment:3363,1,2,NSR:GeneralSign:3509,NSR:GeneralSign:3509,2,1
17755,NSR:Quay:18355,1,2,NSR:PlaceEquipment:3719,NSR:PlaceEquipment:3719,1,2,NSR:GeneralSign:3893,NSR:GeneralSign:3893,3,2
17756,NSR:Quay:18353,1,2,NSR:PlaceEquipment:3720,NSR:PlaceEquipment:3720,2,1,NSR:GeneralSign:3894,NSR:GeneralSign:3894,1,3
67654,NSR:Quay:69636,1,2,NSR:PlaceEquipment:12506,NSR:PlaceEquipment:12506,2,1,NSR:ShelterEquipment:2499,NSR:ShelterEquipment:2499,2,1
67657,NSR:Quay:69635,1,2,NSR:PlaceEquipment:12508,NSR:PlaceEquipment:12508,1,2,NSR:GeneralSign:14412,NSR:GeneralSign:14412,2,1
67931,NSR:Quay:71086,1,2,NSR:PlaceEquipment:12626,NSR:PlaceEquipment:12626,4,1,NSR:ShelterEquipment:2565,NSR:ShelterEquipment:2565,4,3
92746,NSR:Quay:98629,1,2,NSR:PlaceEquipment:13132,NSR:PlaceEquipment:13132,2,1,NSR:GeneralSign:15148,NSR:GeneralSign:15148,1,3
15910,NSR:Quay:17644,1,2,NSR:PlaceEquipment:2456,NSR:PlaceEquipment:2456,2,1,NSR:GeneralSign:2449,NSR:GeneralSign:2449,1,2
14927,NSR:Quay:16466,1,2,NSR:PlaceEquipment:1918,NSR:PlaceEquipment:1918,2,1,NSR:ShelterEquipment:74,NSR:ShelterEquipment:74,2,1
14208,NSR:Quay:15554,1,2,NSR:PlaceEquipment:1451,NSR:PlaceEquipment:1451,2,1,NSR:ShelterEquipment:56,NSR:ShelterEquipment:56,2,1
14311,NSR:Quay:15683,1,2,NSR:PlaceEquipment:1517,NSR:PlaceEquipment:1517,2,1,NSR:GeneralSign:1448,NSR:GeneralSign:1448,1,2
18594,NSR:Quay:19890,1,2,NSR:PlaceEquipment:3921,NSR:PlaceEquipment:3921,2,1,NSR:GeneralSign:4118,NSR:GeneralSign:4118,1,2
62088,NSR:Quay:65231,1,2,NSR:PlaceEquipment:10262,NSR:PlaceEquipment:10262,2,1,NSR:ShelterEquipment:1311,NSR:ShelterEquipment:1311,2,1
62087,NSR:Quay:65223,1,2,NSR:PlaceEquipment:10261,NSR:PlaceEquipment:10261,1,2,NSR:GeneralSign:12250,NSR:GeneralSign:12250,2,1
62087,NSR:Quay:65223,1,2,NSR:PlaceEquipment:10261,NSR:PlaceEquipment:10261,1,2,NSR:ShelterEquipment:1310,NSR:ShelterEquipment:1310,2,1
62400,NSR:Quay:65829,1,2,NSR:PlaceEquipment:10414,NSR:PlaceEquipment:10414,2,1,NSR:GeneralSign:12406,NSR:GeneralSign:12406,1,2
